sketching_order,is_recursive,n_vertices,beta,initialization_mode,n_active_modes,max_rel_error_mean,max_rel_error_std,mean_rel_error_mean,mean_rel_error_std,min_rel_error_mean,max_rel_error_max,max_abs_diff_mean,max_abs_diff_std,runtime_mean,runtime_std,runtime_min,runtime_max
1,true,5,1.0,random,-1,11.27094178058311,NaN,3.0273603441034713,0.5364659850490333,2.045026250401505,11.27094178058311,0.001820808940923977,NaN,1.1514282084,NaN,1.1514282084,1.1514282084
1,true,6,1.0,random,-1,30.02808625248914,NaN,7.679004620995573,1.525185373945288,0.12108776003376093,30.02808625248914,0.005903949508795461,NaN,1.46444791675,NaN,1.46444791675,1.46444791675
1,true,7,1.0,random,-1,4574.280781788424,NaN,52.4716050103004,90.84054925473853,0.003016919417496012,4574.280781788424,0.6337963293144266,NaN,1.699300573,NaN,1.699300573,1.699300573
1,true,8,1.0,random,-1,1140.251874748297,NaN,113.8750800615909,31.337857994112188,0.048055924558670665,1140.251874748297,0.14405672793487478,NaN,1.592015198,NaN,1.592015198,1.592015198
1,true,9,1.0,random,-1,455842.8098264912,NaN,5011.333611751943,14100.797579354872,0.12784684066561425,455842.8098264912,44.19561518489418,NaN,2.6501320835,NaN,2.6501320835,2.6501320835
2,false,1,1.0,random,-1,0.0,NaN,0.0,0.0,1.0e-20,0.0,NaN,NaN,0.079035080734375,NaN,0.079035080734375,0.079035080734375
2,false,2,1.0,random,-1,2.654806177491457e-15,NaN,6.541207513759113e-16,3.811537231853624e-16,9.21807700517867e-18,2.654806177491457e-15,4.87890977618477e-19,NaN,0.4592906478181818,NaN,0.4592906478181818,0.4592906478181818
2,false,3,1.0,random,-1,2.6830987248230234e-15,NaN,3.2502043805071427e-16,3.1951037030989496e-16,5.323608580998063e-18,2.6830987248230234e-15,4.2690460541616737e-19,NaN,1.8607636943333332,NaN,1.8607636943333332,1.8607636943333332
2,false,4,1.0,random,-1,1.879413306281169e-15,NaN,3.2507218859668767e-16,2.1150586300606708e-16,1.0678484694779368e-17,1.879413306281169e-15,2.981555974335137e-19,NaN,4.960320229,NaN,4.960320229,4.960320229
2,false,5,1.0,random,-1,2.3992867104879523e-14,NaN,1.4277004856805495e-15,1.2704185180989552e-15,1.0486392965419372e-17,2.3992867104879523e-14,3.876022766635678e-18,NaN,16.742497458,NaN,16.742497458,16.742497458
2,false,6,1.0,random,-1,3.299679771406638,NaN,0.004461025616159246,0.022588401663279772,1.0384884726919135e-8,3.299679771406638,0.0006487640471581394,NaN,20.583982458,NaN,20.583982458,20.583982458
2,false,7,1.0,random,-1,11.992646928272162,NaN,0.1722868257426269,0.36582291203432554,1.708497701300906e-8,11.992646928272162,0.0016616591688390144,NaN,30.749888916,NaN,30.749888916,30.749888916
2,false,8,1.0,random,-1,7.966541705952606,NaN,0.09954303377397046,0.20545308249891456,1.5505110684365502e-7,7.966541705952606,0.0010064740576458866,NaN,59.642354833,NaN,59.642354833,59.642354833
2,false,9,1.0,random,-1,218.40157831785928,NaN,1.3962580278403522,4.5219429675074965,6.993125950399012e-6,218.40157831785928,0.021174825845741988,NaN,26.15150625,NaN,26.15150625,26.15150625
3,false,1,1.0,random,-1,0.0,NaN,0.0,0.0,1.0e-20,0.0,NaN,NaN,0.09023698817857144,NaN,0.09023698817857144,0.09023698817857144
3,false,2,1.0,random,-1,2.654806177491457e-15,NaN,6.541207513759113e-16,3.811537231853624e-16,9.21807700517867e-18,2.654806177491457e-15,4.87890977618477e-19,NaN,0.64093843225,NaN,0.64093843225,0.64093843225
3,false,3,1.0,random,-1,2.6830987248230234e-15,NaN,3.2502043805071427e-16,3.1951037030989496e-16,5.323608580998063e-18,2.6830987248230234e-15,4.2690460541616737e-19,NaN,2.582406771,NaN,2.582406771,2.582406771
3,false,4,1.0,random,-1,2.5628363267470484e-15,NaN,2.9115198196372106e-16,2.4237834635961184e-16,1.0678484694779368e-17,2.5628363267470484e-15,4.0657581468206416e-19,NaN,18.461172833,NaN,18.461172833,18.461172833
3,false,5,1.0,random,-1,1.2919236133396667e-14,NaN,4.732333498211591e-16,5.638154326104916e-16,5.243196482709686e-18,1.2919236133396667e-14,2.087089182034596e-18,NaN,75.527320625,NaN,75.527320625,75.527320625
3,false,6,1.0,random,-1,1.351018753462783e-14,NaN,6.06650673583759e-16,6.217619209397318e-16,1.7232382059474273e-17,1.351018753462783e-14,2.656295322589486e-18,NaN,125.96994075,NaN,125.96994075,125.96994075
3,false,7,1.0,random,-1,1.222653509640249e-14,NaN,1.465373094924469e-15,9.848245578266753e-16,2.4453070192804983e-17,1.222653509640249e-14,1.6940658945086007e-18,NaN,351.976164375,NaN,351.976164375,351.976164375
3,false,8,1.0,random,-1,6.346266331089287,NaN,0.01587951586629717,0.08535730003830218,1.165628922275779e-7,6.346266331089287,0.000801772294793897,NaN,417.94158975,NaN,417.94158975,417.94158975
3,false,9,1.0,random,-1,97.90074007328661,NaN,0.3064135888485561,1.1076871654647713,4.866613663560716e-7,97.90074007328661,0.00949183214328255,NaN,699.4533155,NaN,699.4533155,699.4533155
