sketching_order,is_recursive,n_vertices,beta,max_rel_error_mean,max_rel_error_std,max_abs_diff_mean,max_abs_diff_std,max_prob,min_prob,runtime_mean,runtime_std,runtime_min,runtime_max
2,false,12,1.0,1.814531524110454e-8,NaN,1.1102230246251565e-15,NaN,0.36730068148005307,3.5059459920209493e-12,0.49483260236363635,NaN,0.49483260236363635,0.49483260236363635
3,false,3,1.0,1.029301451890716e-14,NaN,2.220446049250313e-16,NaN,0.4324774383996878,0.00792110058925346,0.00032882296529999997,NaN,0.00032882296529999997,0.00032882296529999997
3,false,4,1.0,1.7357718677323332e-13,NaN,2.220446049250313e-16,NaN,0.4314080846707787,0.0009442183358701297,0.0008977656322522522,NaN,0.0008977656322522522,0.0008977656322522522
3,false,5,1.0,2.433425208710208e-12,NaN,2.2920033926343564e-15,NaN,0.4303413750506622,6.490239264170526e-5,0.002936875967666079,NaN,0.002936875967666079,0.002936875967666079
3,false,6,1.0,1.4442237335954426e-10,NaN,1.5483084649450807e-15,NaN,0.42927730300145395,2.056393522392684e-6,0.008644110331606216,NaN,0.008644110331606216,0.008644110331606216
3,false,7,1.0,1.0218461695833734e-10,NaN,3.1433189384699745e-15,NaN,0.4282158620014347,2.4512811669656265e-7,0.019881685357142857,NaN,0.019881685357142857,0.019881685357142857
3,false,8,1.0,6.029762398511245e-10,NaN,8.935723255082406e-16,NaN,0.4271570455450115,1.6849282282472294e-8,0.06153676418292683,NaN,0.06153676418292683,0.06153676418292683
3,false,9,1.0,1.1450407687237237e-9,NaN,1.207801220148852e-15,NaN,0.426100847142677,5.338594392647564e-10,0.1554429508529412,NaN,0.1554429508529412,0.1554429508529412
3,false,10,1.0,1.5911976555038116e-9,NaN,2.8143584468107163e-15,NaN,0.42504726032097245,6.363760510944847e-11,0.47205729175,NaN,0.47205729175,0.47205729175
3,false,11,1.0,2.118607282873229e-6,NaN,1.27675647831893e-15,NaN,0.423996278622435,4.374234937711759e-12,1.0173651498,NaN,1.0173651498,1.0173651498
3,false,12,1.0,2.953726999763293e-5,NaN,2.2234411577518043e-15,NaN,0.42294789560558405,1.3859501977056605e-13,3.148481104,NaN,3.148481104,3.148481104
